participant,age,content,specificity,r_confidence,z_confidence,r_vividness,z_vividness
157,1,object,detail,0.16560831515582983,0.16714772522432095,0.046350162846617145,0.046383397629340115
158,0,object,detail,0.453425192941907,0.489003534834525,0.32387513781564786,0.3359703294520326
159,0,object,detail,0.0637022057270606,0.06378858337038248,0.009102294078577435,0.009102545471428433
15,1,object,detail,-0.013665334361513131,-0.013666185084556748,0.04099600308453939,0.04101899322083367
160,0,object,detail,0.3230291412348993,0.33502548158962003,0.35533205535838924,0.3715331964363025
161,0,object,detail,0.15731330124142315,0.15863061977505183,0.20225995873897262,0.2050877909972108
162,0,object,detail,-0.4654746681256314,-0.5042776757930959,-0.3938631807216881,-0.41636435141880546
163,0,object,detail,-0.3105295017040594,-0.321131312541293,-0.10350983390135314,-0.10388190672127405
164,0,object,detail,-0.03294847044699877,-0.03296040119108104,-0.09884541134099631,-0.09916923203011214
165,0,object,detail,-0.1118033988749895,-0.11227277172808266,-0.07453559924999299,-0.07467409006748876
166,0,object,detail,0.4095948053992017,0.4351242491625024,0.27015827590160113,0.2770345520253644
167,0,object,detail,0.48850421045919723,0.5340938276724988,0.38382473678936924,0.40453752581296354
168,0,object,detail,0.5604132431631054,0.6334354340182651,0.5494247481991229,0.6175569535555918
169,0,object,detail,0.37055499927682667,0.38906628293097,0.31339158526400435,0.32430196514696136
16,1,object,detail,0.3434228365490312,0.35796788364800103,0.23302208620935833,0.2373827051045807
170,0,object,detail,0.1453203785515309,0.14635649824320388,0.16241689367524043,0.16386807769287512
172,0,object,detail,-0.13093073414159542,-0.1316867007911214,0.15275252316519466,0.15395751374439945
173,0,object,detail,-0.28415724804218323,-0.29219871070200565,-0.2695850814759174,-0.2764163321790842
174,0,object,detail,0.09449111825230681,0.09477385804869747,-0.031497039417435604,-0.0315074613092844
175,0,object,detail,0.5984437489312764,0.6907190760552949,0.25197631533948484,0.25752199628140066
176,0,object,detail,0.01720283651242368,0.01720453380243458,0.18933820260740308,0.19165067562495877
177,0,object,detail,-0.036618697541565645,-0.036635078414215407,0.07319250547113999,0.0733236280981028
178,0,object,detail,-0.4687486995404349,-0.5084654621566406,-0.20549899493327506,-0.20846730644004752
179,0,object,detail,0.1781741612749496,0.1800963502958839,0.26726124191242434,0.2739120555164748
17,1,object,detail,-0.3090840500933591,-0.31953239615837464,-0.23181303757001934,-0.23610461658674867
