participant,event,vividness,confidence,age,detail_object,detail_person,detail_place,gist_object,gist_person,gist_place
105,14,3.282608696,3.184431978,0,0,0,0,1,0,0
106,21,1.98420105,2.987973701,0,1,1,0,1,1,0
106,1,1.054936896,1.974846395,0,1,0,0,1,0,0
106,19,2.233984714,2.970748901,0,1,0,0,1,0,1
106,22,2.586895752,3.910571289,0,0,0,1,1,1,1
106,15,3.488404677,4.737765164,0,1,1,1,1,1,1
106,12,4.019624837,5.021837701,0,1,1,1,1,1,1
106,2,3.453169759,5.399630398,0,1,1,1,1,1,1
106,4,3.370362006,4.420857069,0,0,1,1,1,1,1
106,14,3.130558268,4.784307522,0,1,0,0,1,1,1
106,17,1.962931315,2.888428413,0,1,1,0,1,1,0
106,20,2.866098022,3.421064589,0,0,1,0,0,1,1
106,11,3.691082086,4.872021484,0,0,0,1,1,1,1
106,7,1.294489543,2.930232069,0,0,0,1,1,0,1
106,18,2.930232069,5.488908556,0,0,1,1,1,1,1
106,5,4.017459785,5.316262478,0,1,1,1,1,1,1
106,3,1.691703288,1.68892551,0,0,0,0,0,0,0
106,16,3.717813789,4.68289388,0,1,0,1,1,1,1
106,6,1.810338338,1.903583442,0,0,0,0,1,0,1
106,24,5.361791992,5.644776747,0,0,1,1,1,1,1
106,8,3.846349419,4.968159315,0,1,1,1,1,1,1
106,13,2.919961887,4.214535862,0,0,1,0,1,1,1
106,23,2.486260308,4.237947591,0,1,0,1,1,1,1
106,9,4.646715291,5.361791992,0,1,1,1,1,1,1
106,10,2.861880832,3.885705905,0,0,1,1,1,1,1
107,17,1.481481481,1.481481481,1,1,0,0,1,0,1
107,3,1.125,1.125,1,0,0,0,0,0,1
107,2,3.736111111,3.782407407,1,0,0,0,0,0,0
107,13,1.805555556,1.805555556,1,1,0,0,1,0,0
107,6,1.912037037,1.888888889,1,0,1,0,0,1,1
107,14,2.587962963,2.097222222,1,1,0,0,1,1,1
107,24,1.726851852,1.875,1,1,0,0,1,1,1
107,1,2.074074074,1.62037037,1,0,0,0,0,0,0
107,5,3.069444444,3.541666667,1,0,1,1,1,1,1
107,11,1.486111111,1.481481481,1,0,0,1,1,0,1
107,12,1.902777778,1.902777778,1,0,0,0,0,0,1
107,16,1.435185185,1.435185185,1,0,0,0,0,0,0
107,15,1.768518519,1.768518519,1,1,0,0,1,0,0
107,4,1.527777778,1.527777778,1,1,0,0,1,1,0
107,22,3.564814815,2.574074074,1,0,0,0,0,0,0
107,19,1.458333333,1.458333333,1,0,0,0,0,0,0
107,23,3.444444444,3.365740741,1,0,1,0,1,1,1
107,10,2.490740741,1.731481481,1,0,0,0,0,0,0
107,7,2.768518519,2.393518519,1,0,0,1,1,0,1
107,9,3.523148148,2.12962963,1,0,0,0,0,0,0
107,21,1.49537037,1.49537037,1,0,0,1,0,0,1
107,18,3.314814815,3.180555556,1,1,0,1,1,0,1
107,20,2.12962963,1.861111111,1,0,0,0,0,0,0
107,8,2.592592593,2.351851852,1,0,0,0,1,0,0
108,14,5.958333333,5.939815097,0,1,0,1,1,1,1
108,20,3.66203732,5.356481764,0,1,1,0,1,1,1
108,16,4.486111111,5.726851993,0,1,1,1,1,1,1
108,5,3.53703732,5.569444444,0,1,1,0,1,1,1
108,22,4.935185326,4.745370653,0,1,0,1,1,1,1
108,3,3.680555556,3.680555556,0,0,1,1,1,1,1
108,17,3.439815097,3.560185326,0,0,0,0,1,0,1
108,15,5.254629771,5.513888889,0,0,1,1,1,1,1
108,11,4.356481764,5.694444444,0,0,1,1,1,1,1
108,24,5.189815097,5.731481764,0,0,0,1,1,1,1
108,21,5.328703986,5.106481764,0,1,1,1,1,1,1
108,10,3.481481764,4.39351866,0,0,1,0,1,1,1
108,2,4.75,4.935185326,0,1,1,0,1,1,1
108,1,3.828703986,4.314815097,0,0,1,1,1,1,1
108,13,4.212963104,5.203703986,0,0,0,0,1,1,1
108,18,4.495370653,5.958333333,0,0,1,1,1,1,1
108,8,3.976851993,5.453703986,0,1,0,1,1,1,1
108,7,1.370370441,1.574074215,0,1,1,1,1,1,1
108,4,4.245370653,5.379629771,0,1,0,1,1,1,1
108,12,3.898148431,5.14351866,0,1,1,1,1,1,1
108,23,3.365740882,5.254629771,0,1,1,1,1,1,1
108,19,5.185185326,5.087963104,0,1,1,0,1,1,1
108,9,5.726851993,5.925926208,0,1,1,1,1,1,1
108,6,5.14351866,5.736111111,0,0,0,1,1,1,1
109,4,4.76875,5.54375,0,0,1,1,1,1,1
109,5,5.2,5.25,0,1,0,0,1,1,1
109,21,5.09375,5.975,0,1,1,1,1,1,1
109,13,3.35625,4.6375,0,1,1,0,1,1,1
109,22,1.16875,1.9375,0,0,0,1,0,0,1
109,1,3.89375,4.46875,0,1,1,0,1,1,1
109,7,1.7,2.8375,0,0,1,1,0,1,1
109,6,3.34375,3.3375,0,0,1,1,1,1,1
109,2,5.5125,5.9875,0,0,0,1,1,1,1
109,12,1.03125,1.45,0,1,0,1,1,0,1
109,20,5.275,5.23125,0,1,1,1,1,1,1
109,16,3.98125,5.29375,0,1,1,0,1,1,1
109,15,1.05625,1.05625,0,0,1,0,0,1,0
109,11,1.4375,2.23125,0,1,1,0,1,1,1
109,17,1.25,1.25,0,1,0,0,1,1,0
109,19,1.175,1.175,0,0,0,1,0,0,1
109,9,1.4875,2.2625,0,1,1,1,1,1,1
109,8,1.13125,1.13125,0,0,1,0,0,1,0
109,23,2.44375,2.21875,0,1,0,1,1,0,1
109,24,3.85625,2.9,0,1,0,1,1,0,1
109,18,4.3125,5.94375,0,1,1,1,1,1,1
109,3,1.05,1.25,0,0,1,0,1,1,0
109,10,3.43125,5.75,0,1,1,1,1,1,1
109,14,4.41875,5.9875,0,1,1,1,1,1,1
10,4,1.944010417,1.944010417,1,0,1,0,1,1,0
10,21,1.21484375,1.15625,1,1,0,1,1,0,1
10,12,1.247395833,1.279947917,1,1,0,0,1,0,0
10,13,1.208333333,1.208333333,1,0,1,0,0,1,0
10,24,1.17578125,1.17578125,1,0,1,0,0,1,0
10,23,4.203125,4.216145833,1,0,0,0,0,1,1
10,15,3.44140625,3.194010417,1,1,0,1,1,1,1
10,11,3.91015625,3.473958333,1,0,1,1,1,1,1
10,7,3.994791667,4.53515625,1,0,0,1,1,1,1
10,18,4.639322917,4.639322917,1,1,1,0,1,1,1
10,5,1.21484375,1.397135417,1,0,0,0,0,0,1
10,9,3.59765625,3.59765625,1,1,0,0,1,1,1
10,3,4.509114583,4.138020833,1,0,1,1,1,1,1
10,17,4.73046875,4.203125,1,0,1,0,1,1,1
10,14,4.606770833,4.606770833,1,1,0,1,1,1,1
10,2,4.834635417,4.522135417,1,1,0,0,1,1,1
10,19,4.723958333,4.723958333,1,1,1,0,1,1,1
10,6,4.932291667,4.359375,1,0,0,0,1,1,0
10,8,5.08203125,5.075520833,1,1,0,1,1,1,1
10,22,3.278645833,3.278645833,1,0,1,0,0,1,1
10,10,1.5078125,1.9375,1,0,1,0,1,1,0
10,20,3.350260417,3.734375,1,1,1,1,1,1,1
10,1,4.84765625,4.509114583,1,0,0,0,1,1,1
10,16,1.208333333,1.208333333,1,0,1,0,0,1,0
110,12,4.405555556,5.738888889,0,1,1,1,1,1,1
110,23,1.133333333,1.133333333,0,0,0,0,0,0,0
