,participant,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,sem1,sem2,sem3,sem4,sem5,sem6,spa1,spa2,spa3,spa4,spa5,spa6,fut1,fut2,fut3,fut4,fut5,fut6,per_1,per_2,per_3,per_4,sun_1,sun_2,sun_3,sun_4,shop_1,shop_2,shop_3,shop_4,scene_1,scene_2,scene_3,scene_4,age
1080,141,4,3,2,2,2,3,2,2,3,4,3,4,4,4,2,3,4,3,3,2,2,2,3,4,4,3,4,3,3,4,2,4,3,3,4,3,2,2,4,2,4,3,0
1104,142,2,2,3,2,3,3,1,1,4,2,2,1,2,1,3,5,1,1,5,5,4,4,4,5,4,2,3,2,3,4,4,3,4,3,4,2,2,3,3,3,4,3,1
1128,143,2,2,4,2,4,4,2,2,3,4,4,2,2,4,4,2,2,2,4,5,4,4,2,4,4,2,4,4,3,3,4,4,5,5,3,2,2,4,3,3,3,4,1
1152,144,2,4,3,4,2,3,3,4,4,2,2,4,3,2,2,2,4,3,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,1
1176,145,2,2,4,3,4,4,2,4,5,2,4,5,2,4,5,5,2,2,4,3,4,4,2,4,4,2,3,3,2,2,4,2,3,4,4,3,3,3,4,4,4,3,0
1200,146,4,2,3,2,2,3,1,4,4,2,2,2,2,4,4,4,2,2,4,5,5,4,4,4,4,2,2,3,3,4,4,5,3,2,3,2,1,3,2,2,3,3,0
1224,147,2,2,4,1,3,2,1,1,5,4,1,1,1,2,5,5,1,1,5,3,3,4,3,2,4,3,3,3,3,2,4,4,4,3,4,4,4,4,4,4,4,4,0
1248,148,2,2,2,4,2,2,2,2,4,2,4,4,2,4,2,4,3,2,4,3,2,2,2,4,2,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1
1272,149,2,4,1,4,3,2,1,4,4,2,1,1,2,4,1,4,5,4,2,5,2,5,2,4,4,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,0
1296,14,2,2,4,4,4,4,3,3,3,4,4,3,4,4,2,2,5,3,4,4,3,3,2,4,2,3,4,4,4,4,3,3,3,3,5,3,4,4,3,4,4,5,1
1320,150,3,3,2,4,4,3,3,4,3,3,3,4,1,4,4,4,3,1,5,4,4,4,4,4,4,3,4,3,3,4,5,5,5,5,4,4,4,4,5,5,5,5,1
1344,151,2,3,4,3,4,3,2,2,4,2,1,4,3,3,4,4,2,2,4,4,3,4,3,3,3,2,3,4,3,3,3,4,2,3,3,2,2,1,3,3,3,3,1
1368,152,3,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,4,4,3,3,3,3,3,1,3,3,3,0
1392,153,3,2,4,4,3,4,1,4,4,2,2,4,4,4,3,4,5,2,4,2,4,2,2,4,2,4,4,4,4,5,4,3,3,3,4,4,2,3,4,3,2,2,0
1416,154,3,1,2,3,3,2,2,3,4,2,4,3,2,4,2,4,2,4,4,1,3,3,2,4,4,2,1,3,2,1,5,2,4,5,2,2,3,4,4,2,4,2,0
1440,155,4,4,3,4,2,2,1,4,2,4,1,2,3,1,4,4,2,1,4,4,2,3,3,4,3,3,2,4,4,3,4,3,4,5,4,3,3,4,4,3,3,4,1
1464,156,3,3,2,1,2,2,1,2,2,4,1,2,3,2,4,4,2,1,5,3,4,4,3,4,3,2,5,4,3,3,2,3,3,4,4,4,3,5,4,3,3,1,1
1488,157,4,4,4,3,3,3,2,2,4,4,2,4,4,3,4,4,3,1,4,4,3,3,3,4,4,3,4,4,3,2,3,3,3,3,3,2,2,3,2,2,2,3,1
1512,158,2,2,5,4,5,4,3,4,5,4,3,4,1,4,5,4,3,1,5,2,2,4,5,4,5,2,4,3,2,2,2,3,4,4,4,1,2,3,2,1,1,2,0
